DAUID,plos_density,plos_class
47110553,178.1254663034099,High
47110554,150.58238557938012,Medium
47110555,218.9713554028455,High
47110556,77.39939980877682,Low
47110557,148.90410759341063,Medium
47110558,130.58578253673798,Medium
47110559,167.46627189178747,High
47110560,195.15267294296697,High
47110561,230.66900724440475,High
47110562,158.64175017087842,Medium
47110563,147.82153406277678,Medium
47110564,161.5167704267,High
47110565,105.52447052730803,Medium
47110566,195.2703000816373,High
47110567,219.94410940122222,High
47110568,190.18000110576529,High
47110569,192.88109474250143,High
47110570,205.43260066889573,High
47110571,178.14161332383443,High
47110572,229.5791894660186,High
47110573,138.68609128330314,Medium
47110574,200.1114629443386,High
47110575,133.96316480958163,Medium
47110576,20.7139759649721,Low
47110577,48.6802976128721,Low
47110579,10.042994636857824,Low
47110651,32.99456128246189,Low
47110652,167.98143913356665,High
47110655,136.05010952232658,Medium
47110656,176.1005325719907,High
47110657,190.7626156615422,High
47110658,92.5902450782517,Medium
47110659,109.24103932800202,Medium
47110660,111.67928002961051,Medium
47110661,123.66219202735897,Medium
47110662,156.07191607591366,Medium
47110663,157.07215580479212,Medium
47110665,100.42333145157006,Medium
47110666,195.00579481649825,High
47110667,118.41611154035832,Medium
47110668,94.07718964327871,Medium
47110669,94.60097024917984,Medium
47110691,2.448874531525547,Low
47110694,1.2329086587675664,Low
47110699,16.234181739647504,Low
47110735,85.35200226848531,Medium
47110736,139.26728664327038,Medium
47110737,210.0013219447289,High
47110738,130.59964634654992,Medium
47110739,183.14020927206732,High
47110741,216.37075837052174,High
47110742,11.787069935052097,Low
47110743,109.92167280728655,Medium
47110744,154.09314360642492,Medium
47110745,190.35496350614187,High
47110747,205.1382335740676,High
47110748,140.54507271418967,Medium
47110749,139.13823940690486,Medium
47110750,123.71475213463934,Medium
47110751,153.0019116598495,Medium
47110752,155.7410944079974,Medium
47110753,21.05781456432057,Low
47110754,125.54290931602414,Medium
47110756,11.090789077758442,Low
47110757,54.44898567269972,Low
